municipio,coef_vial,se_vial,ci_vial_lower,ci_vial_upper,coef_area,se_area,ci_area_lower,ci_area_upper
Municipio de Jinotega,0.7728463273635681,0.34395564203313556,0.023500368388702685,1.4593316992846976,-0.23435281338761313,0.0796125411886847,-0.3909430551307063,-0.07821080532868732
Nagarote (Municipio),0.8190055652318103,0.3565679354609549,0.08600114793942466,1.5556700690693832,-0.23307480289723684,0.08035192268055222,-0.39604884066573387,-0.07804741849532333
Nandaime (Municipio),0.8169895948832857,0.3475258908592035,0.08873906368878938,1.5630710147168194,-0.23193947240083052,0.07946954888031707,-0.3854163109788979,-0.06463783813881592
Nandasmo (Muncipio),0.6510687266035745,0.23744147587548006,0.18836148562630656,1.1162065918476907,-0.2314495610012291,0.07169936481862584,-0.37686848808883866,-0.0897696679759198
Nindirí (Municipio),0.9853969593164557,0.37825070031051444,0.3815713015833824,1.8968986773002767,-0.23317927457218687,0.07264419407264296,-0.3796424402311695,-0.08442683240095838
Niquinohomo (Municipio),0.6867055658191921,0.24009016995101942,0.19669080465915886,1.1594202501772304,-0.23833113955249127,0.07352632800404567,-0.39183956598052627,-0.09416582820729405
Ocotal (Municipio),0.9148015830092003,0.35253287882874706,0.2947031081327137,1.7474101156779553,-0.24575964540069598,0.07612167353619798,-0.40524477629019,-0.09768246931185826
Palacagüina (Municipio),0.8012155384683868,0.34405634115341527,0.0683257981198085,1.5064517074921566,-0.22789092901802202,0.07915956828712757,-0.3851296388994516,-0.0661975707255187
Posoltega (Municipio),0.7634083035418012,0.35249058645841735,0.02621018511965426,1.457825706659063,-0.24449131838490418,0.0806097954929861,-0.4139944815463009,-0.09107787882303632
Potosí (Municipio),0.7964826515285256,0.35347981745195006,0.037787638989350225,1.5296536125194382,-0.22954311021403717,0.07698686630005,-0.38650304783344674,-0.07427581867235357
Puerto Morazán (Municipio),0.8256417776110907,0.34193100554583117,0.135623320683335,1.5682209806692586,-0.23213752579083968,0.07954687294382828,-0.3862232345646446,-0.06693647210930413
Quezalguaque (Municipio),0.8363894836173222,0.3565174800468918,0.10370104656202711,1.5555334324464931,-0.22699437228937686,0.0770536149378572,-0.3750750988085442,-0.06984641844469028
Rivas (Municipio),0.8212471151250734,0.35417433954761846,0.1310159638968688,1.6196619426838432,-0.23123780831740304,0.0792237244775662,-0.39992093759712305,-0.07701776709807216
San Carlos (Municipio),0.8270081088040545,0.352186829396994,0.16547979485709374,1.6155942251074864,-0.23280426654762987,0.07748202798108095,-0.39358921086648535,-0.0880632562908783
San Francisco Libre (Municipio),0.8248849833332613,0.35690098345408744,0.1190814960179109,1.6134576023869496,-0.2305882228253191,0.08149768800811326,-0.39505857514129816,-0.07363903384801851
San Francisco del Norte (Municipio),0.8270849116153234,0.3529769125439816,0.09318550547158413,1.5782772074804154,-0.22942599707151798,0.07906224978190508,-0.3897906371289559,-0.07021354294029923
San Jorge (Municipio),0.7932349044454333,0.3428117811369561,0.06972311066749874,1.4937952374516406,-0.23829818531454275,0.07670735449769035,-0.4037843735644201,-0.0950533825390732
