municipio,fecha,luces_nocturnas,densid_vial,imae,interaccion_causal,area_km2,imae_primario,imae_secundario,imae_terciario
Rivas (Municipio),2022-11-01,0.378525346517563,0.6026596777137195,166.554234635324,100.37552136717959,349.0722348817323,221.7416584945484,155.17678521716746,157.92151040358323
Rivas (Municipio),2022-12-01,0.374870210886002,0.6026596777137195,166.790924427615,100.5181647611198,349.0722348817323,222.12578094537358,157.00593648327364,157.86837481831617
Rivas (Municipio),2023-01-01,0.327183246612549,0.6026596777137195,167.212617764311,100.77230233150705,349.0722348817323,221.7075259257962,158.96899136862535,157.85267033536496
Rivas (Municipio),2023-02-01,0.360650420188904,0.6026596777137195,167.825384910544,101.14159238236937,349.0722348817323,220.68011170951482,161.1134182819292,158.10103493261835
Rivas (Municipio),2023-03-01,0.377319812774658,0.6026596777137195,168.755512465454,101.70214275484408,349.0722348817323,219.5734454509652,163.32357007634155,158.70763262865003
Rivas (Municipio),2023-04-01,0.507349610328674,0.6026596777137195,170.060165919156,102.48840478478022,349.0722348817323,218.4711834393088,165.75984141103257,159.6665729201445
Rivas (Municipio),2023-05-01,0.426853269338608,0.6026596777137195,171.680809136914,103.46510110408319,349.0722348817323,217.5334376373774,168.29644046851524,160.8644445293731
Rivas (Municipio),2023-06-01,0.530766010284424,0.6026596777137195,173.364220125361,104.47962502784038,349.0722348817323,217.15813625994937,170.59369846359746,162.16791937884608
Rivas (Municipio),2023-07-01,0.445134282112122,0.6026596777137195,174.776743845326,105.33089611767748,349.0722348817323,217.7419498926668,172.2042317008486,163.46792835991357
Rivas (Municipio),2023-08-01,0.341986358165741,0.6026596777137195,175.711766417268,105.8943965195391,349.0722348817323,218.8221302967654,172.8737025100696,164.60526506527637
Rivas (Municipio),2023-09-01,0.475603729486465,0.6026596777137195,176.151454501248,106.15937879852505,349.0722348817323,219.89974189016078,172.81514612657688,165.44713174986506
Rivas (Municipio),2023-10-01,0.475402563810349,0.6026596777137195,176.289719950539,106.2427058096337,349.0722348817323,221.13033632728238,172.53900373061978,166.0152073544878
Rivas (Municipio),2023-11-01,0.4471735060215,0.6026596777137195,176.338817142036,106.27229470723793,349.0722348817323,222.3682359693752,172.48396991207642,166.39875657429832
Rivas (Municipio),2023-12-01,0.355540215969086,0.6026596777137195,176.509762121669,106.37531635357034,349.0722348817323,223.23637158710062,172.6985387719171,166.6631140096575
Rivas (Municipio),2024-01-01,0.349368572235107,0.6026596777137195,176.808356695562,106.55526726323976,349.0722348817323,223.3432101928554,173.14797379716194,166.92997873020263
Rivas (Municipio),2024-02-01,0.4100581407547,0.6026596777137195,177.161716728363,106.76822310672452,349.0722348817323,222.47700083723998,173.59025665488693,167.25137596364354
Rivas (Municipio),2024-03-01,0.421681135892868,0.6026596777137195,177.376665096032,106.89776382070902,349.0722348817323,220.6015322119766,173.8793987292519,167.64828749848562
Rivas (Municipio),2024-04-01,0.463324904441833,0.6026596777137195,177.358194183618,106.8866321465865,349.0722348817323,217.9484616342138,173.85430456575173,168.0996842749446
Rivas (Municipio),2024-05-01,0.245198547840118,0.6026596777137195,177.186396262752,106.78309646696552,349.0722348817323,214.8827382449396,173.43958018173694,168.5075561284749
Rivas (Municipio),2024-06-01,0.693046152591705,0.6026596777137195,177.03870452819,106.6940886138134,349.0722348817323,211.62582958803017,172.8632982006953,168.8411606849397
Rivas (Municipio),2024-07-01,0.514160573482513,0.6026596777137195,177.133018654093,106.75092793453396,349.0722348817323,208.8303241847726,172.38561666751605,169.15414440993473
Rivas (Municipio),2024-08-01,0.488254517316818,0.6026596777137195,177.551800870551,107.00331109013678,349.0722348817323,206.97501189193116,172.08085871068477,169.4920612375005
Rivas (Municipio),2024-09-01,0.372870773077011,0.6026596777137195,178.225151183691,107.40911217284216,349.0722348817323,206.216634619263,171.77680180207244,169.89702103000525
Rivas (Municipio),2024-10-01,0.409608393907547,0.6026596777137195,179.070617435472,107.91864059165832,349.0722348817323,206.1556336880116,171.47968059922246,170.34099105066747
Rivas (Municipio),2024-11-01,0.362196832895279,0.6026596777137195,180.043561792387,108.5049949242301,349.0722348817323,206.632607596417,171.4426564688722,170.84012642540094
Rivas (Municipio),2024-12-01,0.30453360080719,0.6026596777137195,181.07562490782001,109.12697774875717,349.0722348817323,207.85591169433218,171.88002310485527,171.450476439014
Rivas (Municipio),2025-01-01,0.383077263832092,0.6026596777137195,182.158050524699,109.77931202217454,349.0722348817323,210.05262126788085,172.71845193551385,172.1276297978319
Rivas (Municipio),2025-02-01,0.36550360918045,0.6026596777137195,183.288957868323,110.46086427740705,349.0722348817323,213.06115397534222,173.83136253350867,172.78171400487403
